job,marital,education,housing,loan,contact,campaign,poutcome,y
unemployed,married,primary,no,no,cellular,1,unknown,no
services,married,secondary,yes,yes,cellular,1,failure,no
management,single,tertiary,yes,no,cellular,1,failure,no
management,married,tertiary,yes,yes,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
management,single,tertiary,no,no,cellular,2,failure,no
self-employed,married,tertiary,yes,no,cellular,1,other,no
technician,married,secondary,yes,no,cellular,2,unknown,no
entrepreneur,married,tertiary,yes,no,unknown,2,unknown,no
services,married,primary,yes,yes,cellular,1,failure,no
services,married,secondary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,no,cellular,2,unknown,no
technician,married,tertiary,no,no,cellular,2,unknown,no
student,single,secondary,no,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,yes,cellular,1,failure,no
management,married,tertiary,no,yes,cellular,2,unknown,no
technician,married,secondary,no,no,cellular,5,unknown,no
admin.,single,tertiary,yes,no,cellular,1,failure,no
blue-collar,single,primary,yes,no,unknown,1,unknown,no
services,married,secondary,no,no,cellular,1,other,no
management,divorced,unknown,yes,no,cellular,2,unknown,no
management,divorced,tertiary,no,no,cellular,3,unknown,no
services,single,secondary,no,no,unknown,2,unknown,no
entrepreneur,married,secondary,no,no,cellular,2,unknown,no
housemaid,married,tertiary,no,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
retired,married,unknown,no,no,telephone,1,failure,no
self-employed,married,secondary,no,yes,cellular,2,unknown,no
admin.,married,secondary,no,yes,cellular,2,unknown,no
retired,divorced,secondary,no,no,telephone,2,unknown,yes
technician,married,secondary,no,no,cellular,3,unknown,no
management,married,secondary,no,no,cellular,1,unknown,no
management,single,tertiary,yes,no,cellular,6,unknown,yes
technician,married,tertiary,no,no,cellular,3,unknown,yes
admin.,divorced,secondary,yes,no,unknown,1,unknown,no
retired,divorced,primary,no,no,telephone,1,unknown,yes
blue-collar,married,secondary,yes,no,cellular,1,unknown,yes
management,married,secondary,yes,no,cellular,1,failure,yes
services,single,tertiary,yes,no,unknown,18,unknown,no
management,single,tertiary,yes,no,unknown,2,failure,no
management,single,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
technician,married,tertiary,yes,no,cellular,3,unknown,no
technician,single,tertiary,yes,no,cellular,4,unknown,no
management,single,tertiary,yes,no,unknown,2,unknown,no
blue-collar,married,primary,no,no,telephone,3,other,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
entrepreneur,single,primary,yes,yes,cellular,1,unknown,no
admin.,married,unknown,yes,no,cellular,1,success,yes
blue-collar,divorced,primary,no,no,unknown,3,unknown,yes
technician,single,secondary,yes,no,cellular,2,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
technician,married,tertiary,yes,no,cellular,1,other,yes
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
admin.,married,secondary,yes,no,telephone,2,unknown,no
management,married,secondary,no,yes,telephone,1,unknown,no
self-employed,single,tertiary,no,no,cellular,1,unknown,no
retired,single,secondary,yes,yes,unknown,1,unknown,no
technician,divorced,secondary,yes,yes,unknown,1,unknown,no
blue-collar,married,primary,no,yes,telephone,3,unknown,no
retired,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
